,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
275605,VIA Rail Canada Inc.,2017,Full-Time,Provincial,Manitoba,Overall,187,117,70,22,7,9
275650,VIA Rail Canada Inc.,2017,Full-Time,Provincial,British Columbia,Overall,164,127,37,8,3,31
275965,VIA Rail Canada Inc.,2017,Part-Time,Provincial,Ontario,Overall,57,27,30,0,1,7
275978,VIA Rail Canada Inc.,2017,Part-Time,Provincial,Québec,Overall,41,16,25,1,2,5
275999,VIA Rail Canada Inc.,2017,Part-Time,Provincial,Nova Scotia,Overall,4,1,3,0,0,1
276004,VIA Rail Canada Inc.,2017,Part-Time,Provincial,New Brunswick,Overall,25,5,20,0,0,0
276009,VIA Rail Canada Inc.,2017,Part-Time,Provincial,Manitoba,Overall,19,9,10,2,0,2
276022,VIA Rail Canada Inc.,2017,Part-Time,Provincial,British Columbia,Overall,14,10,4,0,0,2
276133,Vianet Inc.,2017,Full-Time,Provincial,Ontario,Overall,133,88,45,0,0,0
276211,Vidéotron ltée,2017,Full-Time,Provincial,Québec,Overall,5293,3781,1512,16,18,523
276330,Vidéotron ltée,2017,Part-Time,Provincial,Québec,Overall,1176,775,401,5,8,188
276429,Vista Radio Ltd.,2017,Full-Time,Provincial,British Columbia,Overall,132,81,51,3,1,8
276467,Vista Radio Ltd.,2017,Part-Time,Provincial,British Columbia,Overall,8,1,7,0,0,0
276533,Viterra Canada Inc.,2017,Full-Time,Provincial,Québec,Overall,157,142,15,0,0,2
276578,Viterra Canada Inc.,2017,Full-Time,Provincial,Manitoba,Overall,165,146,19,13,0,4
276627,Viterra Canada Inc.,2017,Full-Time,Provincial,British Columbia,Overall,264,237,27,5,0,5
276672,Viterra Canada Inc.,2017,Full-Time,Provincial,Saskatchewan,Overall,626,462,164,16,9,23
276717,Viterra Canada Inc.,2017,Full-Time,Provincial,Alberta,Overall,263,221,42,1,2,5
276865,Viterra Canada Inc.,2017,Part-Time,Provincial,Manitoba,Overall,1,1,0,0,0,0
276870,Viterra Canada Inc.,2017,Part-Time,Provincial,Saskatchewan,Overall,10,2,8,0,0,0
276887,Viterra Canada Inc.,2017,Part-Time,Provincial,Alberta,Overall,3,2,1,0,0,0
276938,Voyageur Aviation Corp.,2017,Full-Time,Provincial,Ontario,Overall,175,131,44,2,1,17
277016,Wallenstein Feed & Supply Ltd.,2017,Full-Time,Provincial,Ontario,Overall,186,145,41,1,7,5
277090,Wallenstein Feed & Supply Ltd.,2017,Part-Time,Provincial,Ontario,Overall,33,25,8,1,0,0
277152,Warren Gibson Limited,2017,Full-Time,Provincial,Ontario,Overall,486,431,55,9,25,18
277198,Warren Gibson Limited,2017,Part-Time,Provincial,Ontario,Overall,39,39,0,2,1,3
277260,Wasaya Airways Limited Partnership,2017,Full-Time,Provincial,Ontario,Overall,347,249,98,93,1,22
277338,Wasaya Airways Limited Partnership,2017,Part-Time,Provincial,Ontario,Overall,49,22,27,35,1,3
277392,"Wells Fargo Bank N.A., Canadian Branch",2017,Full-Time,Provincial,Ontario,Overall,124,76,48,0,3,42
277455,"Wells Fargo Bank N.A., Canadian Branch",2017,Part-Time,Provincial,Ontario,Overall,1,0,1,0,0,0
277510,West Wind Aviation LP,2017,Full-Time,Provincial,Saskatchewan,Overall,138,106,32,6,1,11
277572,West Wind Aviation LP,2017,Part-Time,Provincial,Saskatchewan,Overall,7,2,5,0,1,0
277634,Westcan Bulk Transport Ltd.,2017,Full-Time,Provincial,British Columbia,Overall,177,166,11,6,4,13
277663,Westcan Bulk Transport Ltd.,2017,Full-Time,Provincial,Saskatchewan,Overall,185,171,14,7,1,18
277700,Westcan Bulk Transport Ltd.,2017,Full-Time,Provincial,Alberta,Overall,385,311,74,8,10,68
277815,Westcan Bulk Transport Ltd.,2017,Part-Time,Provincial,British Columbia,Overall,4,2,2,0,0,0
277828,Westcan Bulk Transport Ltd.,2017,Part-Time,Provincial,Saskatchewan,Overall,5,5,0,0,0,0
277845,Westcan Bulk Transport Ltd.,2017,Part-Time,Provincial,Alberta,Overall,6,3,3,0,0,2
277920,Westcoast Energy Inc.,2017,Full-Time,Provincial,British Columbia,Overall,633,537,96,42,34,26
277965,Westcoast Energy Inc.,2017,Full-Time,Provincial,Alberta,Overall,307,189,118,9,10,84
278060,Westcoast Energy Inc.,2017,Part-Time,Provincial,British Columbia,Overall,4,0,4,0,0,0
278073,Westcoast Energy Inc.,2017,Part-Time,Provincial,Alberta,Overall,3,1,2,0,0,0
278158,Western Stevedoring Company Limited,2017,Full-Time,Provincial,British Columbia,Overall,126,105,21,5,1,8
278273,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,Ontario,Overall,2418,1339,1079,39,16,453
278322,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,Québec,Overall,34,21,13,0,0,9
278347,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,Nova Scotia,Overall,38,27,11,2,1,3
278368,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,New Brunswick,Overall,273,70,203,4,21,15
278393,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,Manitoba,Overall,44,21,23,1,0,4
278426,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,British Columbia,Overall,775,407,368,16,8,154
278475,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,Saskatchewan,Overall,29,18,11,1,0,1
278492,"WestJet, an Alberta Partnership",2017,Full-Time,Provincial,Alberta,Overall,5288,2561,2727,106,70,722
278836,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,Ontario,Overall,816,227,589,10,18,200
278857,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,Québec,Overall,92,17,75,0,1,30
278862,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,Nova Scotia,Overall,60,13,47,2,1,3
278867,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,New Brunswick,Overall,7,1,6,0,1,0
278872,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,Manitoba,Overall,61,11,50,4,0,14
278885,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,British Columbia,Overall,553,108,445,10,6,173
278910,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,Saskatchewan,Overall,50,5,45,0,2,2
278919,"WestJet, an Alberta Partnership",2017,Part-Time,Provincial,Alberta,Overall,1831,634,1197,39,37,317
279103,Westman Media Cooperative Ltd.,2017,Full-Time,Provincial,Manitoba,Overall,102,78,24,3,5,6
279161,Westman Media Cooperative Ltd.,2017,Part-Time,Provincial,Manitoba,Overall,7,6,1,0,0,1
279207,Westower Communications Ltd.,2017,Full-Time,Provincial,Ontario,Overall,93,81,12,0,0,14
279244,Westower Communications Ltd.,2017,Full-Time,Provincial,British Columbia,Overall,91,81,10,2,8,22
279281,Westower Communications Ltd.,2017,Full-Time,Provincial,Alberta,Overall,94,83,11,2,1,25
279335,Westower Communications Ltd.,2017,Part-Time,Provincial,Ontario,Overall,2,0,2,0,0,0
279344,Westower Communications Ltd.,2017,Part-Time,Provincial,British Columbia,Overall,3,1,2,0,0,0
279390,Westshore Terminals Limited Partnership,2017,Full-Time,Provincial,British Columbia,Overall,268,248,20,8,14,23
279481,Westshore Terminals Limited Partnership,2017,Temporary,Provincial,British Columbia,Overall,120,112,8,7,3,9
279540,Wills Transfer Limited,2017,Full-Time,Provincial,Ontario,Overall,156,134,22,1,3,4
279574,Wills Transfer Limited,2017,Part-Time,Provincial,Ontario,Overall,7,7,0,0,0,0
279616,Wilson's Transportation Ltd.,2017,Full-Time,Provincial,British Columbia,Overall,128,90,38,0,0,11
279682,Wilson's Transportation Ltd.,2017,Part-Time,Provincial,British Columbia,Overall,89,71,18,0,1,7
279756,Windsor Disposal Services Ltd.,2017,Full-Time,Provincial,Ontario,Overall,136,117,19,4,9,25
279842,Winnipeg Airports Authority Inc.,2017,Full-Time,Provincial,Manitoba,Overall,116,88,28,8,0,12
279937,Winnipeg Airports Authority Inc.,2017,Part-Time,Provincial,Manitoba,Overall,5,5,0,0,0,3
279972,Winnipeg Airports Authority Inc.,2017,Temporary,Provincial,Manitoba,Overall,35,30,5,5,0,2
280055,"WireComm Systems (2008), Inc.",2017,Full-Time,Provincial,Ontario,Overall,189,185,4,0,0,0
280171,"XPO logistics Freight Canada, Inc.",2017,Full-Time,Provincial,Ontario,Overall,137,121,16,9,10,27
280201,"XPO logistics Freight Canada, Inc.",2017,Part-Time,Provincial,Ontario,Overall,7,7,0,0,0,0
280255,XTL Transport Inc,2017,Full-Time,Provincial,Québec,Overall,95,78,17,0,24,22
280304,XTL Transport Inc,2017,Full-Time,Provincial,Alberta,Overall,101,97,4,2,14,48
280456,XTL Transport Inc,2017,Part-Time,Provincial,Québec,Overall,3,1,2,0,1,0
280465,XTL Transport Inc,2017,Part-Time,Provincial,Alberta,Overall,17,15,2,0,1,9
280541,Yellowhead Helicopters Ltd.,2017,Full-Time,Provincial,British Columbia,Overall,109,94,15,3,2,4
280587,Yellowhead Helicopters Ltd.,2017,Part-Time,Provincial,British Columbia,Overall,1,0,1,0,0,0
280625,YRC Freight Canada Company,2017,Full-Time,Provincial,Ontario,Overall,246,204,42,4,10,32
280654,YRC Freight Canada Company,2017,Full-Time,Provincial,Manitoba,Overall,192,136,56,13,16,43
280762,YRC Freight Canada Company,2017,Part-Time,Provincial,Ontario,Overall,15,12,3,0,0,5
280775,YRC Freight Canada Company,2017,Part-Time,Provincial,Manitoba,Overall,7,6,1,0,0,2
280847,Zayo Canada Inc.,2017,Full-Time,Provincial,Ontario,Overall,611,405,206,4,8,170
280892,Zayo Canada Inc.,2017,Full-Time,Provincial,Québec,Overall,151,115,36,2,0,13
281004,Zayo Canada Inc.,2017,Part-Time,Provincial,Ontario,Overall,2,1,1,0,0,0
281013,Zayo Canada Inc.,2017,Part-Time,Provincial,Québec,Overall,3,2,1,0,0,2
281128,1791949 Ontario,2018,Full-Time,Provincial,Ontario,Overall,91,57,34,1,1,46
281195,1791949 Ontario,2018,Part-Time,Provincial,Ontario,Overall,107,36,71,1,1,59
281288,2635-8762 Québec Inc.,2018,Full-Time,Provincial,Québec,Overall,116,97,19,0,0,0
281355,2635-8762 Québec Inc.,2018,Part-Time,Provincial,Québec,Overall,9,6,3,0,0,0
281402,2701545 Canada Inc.,2018,Full-Time,Provincial,Québec,Overall,251,184,67,2,0,42
281469,2701545 Canada Inc.,2018,Part-Time,Provincial,Québec,Overall,2,2,0,0,0,0
281532,3903214 Canada Inc.,2018,Full-Time,Provincial,Québec,Overall,119,94,25,0,0,31
281635,3903214 Canada Inc.,2018,Part-Time,Provincial,Québec,Overall,4,4,0,0,0,1
281702,4186397 Canada Inc.,2018,Full-Time,Provincial,British Columbia,Overall,118,110,8,4,3,22
281723,4186397 Canada Inc.,2018,Full-Time,Provincial,Alberta,Overall,351,265,86,5,8,27
281876,4186397 Canada Inc.,2018,Part-Time,Provincial,British Columbia,Overall,6,4,2,1,0,2
281885,4186397 Canada Inc.,2018,Part-Time,Provincial,Alberta,Overall,11,6,5,0,0,5
281966,4Tracks Ltd.,2018,Full-Time,Provincial,Manitoba,Overall,135,119,16,0,0,119
282057,4Tracks Ltd.,2018,Part-Time,Provincial,Manitoba,Overall,7,7,0,0,0,7
282120,591182 Ontario Ltd.,2018,Full-Time,Provincial,Ontario,Overall,197,179,18,3,1,13
282162,591182 Ontario Ltd.,2018,Part-Time,Provincial,Ontario,Overall,33,32,1,2,0,1
282192,6240143 Canada Inc.,2018,Full-Time,Provincial,Québec,Overall,9,1,8,0,0,0
282235,6240143 Canada Inc.,2018,Part-Time,Provincial,Québec,Overall,218,113,105,0,0,8
282302,6422217 Canada Inc.,2018,Full-Time,Provincial,Ontario,Overall,153,105,48,4,1,45
282405,6422217 Canada Inc.,2018,Part-Time,Provincial,Ontario,Overall,7,7,0,0,0,3
282494,9007-6720 Québec Inc.,2018,Full-Time,Provincial,Québec,Overall,156,137,19,2,1,0
282532,9007-6720 Québec Inc.,2018,Part-Time,Provincial,Québec,Overall,12,12,0,0,0,0
282646,9736140 Canada Inc.,2018,Full-Time,Provincial,Québec,Overall,86,68,18,0,0,2
282704,9736140 Canada Inc.,2018,Part-Time,Provincial,Québec,Overall,33,20,13,0,0,1
282742,A. Beaumont Transport Inc.,2018,Full-Time,Provincial,Québec,Overall,92,76,16,1,0,0
282784,A.J. Bus Lines Ltd.,2018,Full-Time,Provincial,Ontario,Overall,27,15,12,1,1,1
282810,A.J. Bus Lines Ltd.,2018,Part-Time,Provincial,Ontario,Overall,130,51,79,12,2,1
282828,A.S.P. Incorporated,2018,Full-Time,Provincial,Ontario,Overall,407,141,266,0,0,0
282859,A.S.P. Incorporated,2018,Part-Time,Provincial,Ontario,Overall,4,1,3,0,0,0
282878,A.S.P. Incorporated,2018,Temporary,Provincial,Ontario,Overall,113,63,50,0,0,0
282921,Aboriginal Peoples Television Network,2018,Full-Time,Provincial,Manitoba,Overall,93,42,51,68,0,3
282976,Aboriginal Peoples Television Network,2018,Part-Time,Provincial,Manitoba,Overall,1,0,1,1,0,0
283073,Access Communications Co-operative Limited,2018,Full-Time,Provincial,Saskatchewan,Overall,213,155,58,10,9,29
283200,Access Communications Co-operative Limited,2018,Part-Time,Provincial,Saskatchewan,Overall,65,29,36,2,0,25
283345,ADM Agri-Industries Ltd.,2018,Full-Time,Provincial,Ontario,Overall,196,165,31,6,9,18
283398,ADM Agri-Industries Ltd.,2018,Full-Time,Provincial,Alberta,Overall,161,134,27,10,4,24
283464,ADM Agri-Industries Ltd.,2018,Part-Time,Provincial,Ontario,Overall,3,2,1,0,1,0
283477,ADM Agri-Industries Ltd.,2018,Part-Time,Provincial,Alberta,Overall,2,1,1,0,0,0
283523,Administration portuaire de Montréal,2018,Full-Time,Provincial,Québec,Overall,236,167,69,0,1,7
283650,Aéroport de Québec Inc.,2018,Full-Time,Provincial,Québec,Overall,183,137,46,3,1,3
283708,Aéroport de Québec Inc.,2018,Part-Time,Provincial,Québec,Overall,16,7,9,0,0,0
283770,Aéroports de Montréal,2018,Full-Time,Provincial,Québec,Overall,677,506,171,8,17,56
283877,Aéroports de Montréal,2018,Part-Time,Provincial,Québec,Overall,13,4,9,0,0,4
283948,Aevitas Inc.,2018,Full-Time,Provincial,Ontario,Overall,137,121,16,1,11,6
283998,Aevitas Inc.,2018,Part-Time,Provincial,Ontario,Overall,2,2,0,0,0,0
284052,Agri-Marché Inc.,2018,Full-Time,Provincial,Québec,Overall,145,77,68,0,0,1
284110,Agri-Marché Inc.,2018,Part-Time,Provincial,Québec,Overall,3,2,1,0,0,0
284178,AGRIS Co-operative Ltd.,2018,Full-Time,Provincial,Ontario,Overall,127,91,36,3,7,2
284216,AGRIS Co-operative Ltd.,2018,Part-Time,Provincial,Ontario,Overall,3,1,2,0,0,0
284238,AGRIS Co-operative Ltd.,2018,Temporary,Provincial,Ontario,Overall,47,39,8,1,4,2
284304,Air Canada,2018,Full-Time,Provincial,Ontario,Overall,12177,7348,4829,118,107,3390
284353,Air Canada,2018,Full-Time,Provincial,Québec,Overall,6175,3530,2645,36,62,1095
284406,Air Canada,2018,Full-Time,Provincial,Nova Scotia,Overall,336,236,100,7,8,22
284439,Air Canada,2018,Full-Time,Provincial,New Brunswick,Overall,371,142,229,11,14,12
284468,Air Canada,2018,Full-Time,Provincial,Manitoba,Overall,527,254,273,32,11,88
284517,Air Canada,2018,Full-Time,Provincial,British Columbia,Overall,4670,2639,2031,71,39,1249
284562,Air Canada,2018,Full-Time,Provincial,Alberta,Overall,1613,856,757,43,26,349
284607,Air Canada,2018,Full-Time,Provincial,Newfoundland and Labrador,Overall,139,91,48,2,3,11
284940,Air Canada,2018,Part-Time,Provincial,Ontario,Overall,1011,492,519,8,9,407
284949,Air Canada,2018,Part-Time,Provincial,Québec,Overall,478,269,209,2,4,144
284958,Air Canada,2018,Part-Time,Provincial,Nova Scotia,Overall,60,34,26,1,0,13
284967,Air Canada,2018,Part-Time,Provincial,New Brunswick,Overall,17,14,3,0,0,1
284976,Air Canada,2018,Part-Time,Provincial,Manitoba,Overall,41,29,12,5,1,12
284985,Air Canada,2018,Part-Time,Provincial,British Columbia,Overall,342,173,169,2,1,163
284994,Air Canada,2018,Part-Time,Provincial,Alberta,Overall,212,113,99,4,4,86
285003,Air Canada,2018,Part-Time,Provincial,Newfoundland and Labrador,Overall,34,21,13,1,2,5
285100,Air Canada Rouge LP,2018,Full-Time,Provincial,Ontario,Overall,776,159,617,3,6,73
285125,Air Canada Rouge LP,2018,Full-Time,Provincial,Québec,Overall,368,71,297,2,4,37
285142,Air Canada Rouge LP,2018,Full-Time,Provincial,British Columbia,Overall,31,10,21,0,0,0
285251,Air Creebec Inc.,2018,Full-Time,Provincial,Ontario,Overall,124,89,35,41,5,2
285292,Air Creebec Inc.,2018,Full-Time,Provincial,Québec,Overall,210,128,82,21,7,11
285387,Air Creebec Inc.,2018,Part-Time,Provincial,Ontario,Overall,32,19,13,27,0,0
285396,Air Creebec Inc.,2018,Part-Time,Provincial,Québec,Overall,50,39,11,20,1,5
285467,Air Georgian Limited,2018,Full-Time,Provincial,Ontario,Overall,468,332,136,9,4,165
285566,Air Georgian Limited,2018,Part-Time,Provincial,Ontario,Overall,2,1,1,0,0,0
285633,Air Inuit Ltd/Ltée,2018,Full-Time,Provincial,Québec,Overall,577,384,193,72,4,49
285764,Air Inuit Ltd/Ltée,2018,Part-Time,Provincial,Québec,Overall,103,75,28,79,2,5
285879,Air North Charter & Training Ltd.,2018,Full-Time,Provincial,British Columbia,Overall,41,28,13,0,0,26
285916,Air North Charter & Training Ltd.,2018,Full-Time,Provincial,Yukon,Overall,196,121,75,10,6,24
286039,Air North Charter & Training Ltd.,2018,Part-Time,Provincial,British Columbia,Overall,67,24,43,0,0,37
286056,Air North Charter & Training Ltd.,2018,Part-Time,Provincial,Yukon,Overall,67,25,42,9,2,12
286147,Air Tindi Ltd,2018,Full-Time,Provincial,Northwest Territories,Overall,146,114,32,4,2,11
286205,Air Tindi Ltd,2018,Part-Time,Provincial,Northwest Territories,Overall,21,6,15,15,0,1
286271,Air Transat inc.,2018,Full-Time,Provincial,Ontario,Overall,907,492,415,19,18,172
286312,Air Transat inc.,2018,Full-Time,Provincial,Québec,Overall,1569,762,807,12,15,151
286365,Air Transat inc.,2018,Full-Time,Provincial,British Columbia,Overall,202,66,136,4,2,53
286534,Air Transat inc.,2018,Part-Time,Provincial,Québec,Overall,62,10,52,1,0,25
286609,Airbus Helicopters Canada Limited,2018,Full-Time,Provincial,Ontario,Overall,219,151,68,8,1,13
286671,Airbus Helicopters Canada Limited,2018,Part-Time,Provincial,Ontario,Overall,1,0,1,0,0,0
286721,Airport Terminal Services Canadian Co.,2018,Full-Time,Provincial,Ontario,Overall,102,51,51,0,4,30
286746,Airport Terminal Services Canadian Co.,2018,Full-Time,Provincial,Québec,Overall,100,82,18,2,1,32
286775,Airport Terminal Services Canadian Co.,2018,Full-Time,Provincial,Manitoba,Overall,47,43,4,2,5,20
286804,Airport Terminal Services Canadian Co.,2018,Full-Time,Provincial,British Columbia,Overall,90,84,6,2,1,27
286837,Airport Terminal Services Canadian Co.,2018,Full-Time,Provincial,Alberta,Overall,269,210,59,7,9,69
287093,Airport Terminal Services Canadian Co.,2018,Part-Time,Provincial,Ontario,Overall,127,69,58,0,1,24
287106,Airport Terminal Services Canadian Co.,2018,Part-Time,Provincial,Québec,Overall,87,51,36,1,1,27
287123,Airport Terminal Services Canadian Co.,2018,Part-Time,Provincial,Manitoba,Overall,84,59,25,4,2,35
287140,Airport Terminal Services Canadian Co.,2018,Part-Time,Provincial,British Columbia,Overall,105,90,15,4,2,23
287153,Airport Terminal Services Canadian Co.,2018,Part-Time,Provincial,Alberta,Overall,168,73,95,3,3,64
287339,AJW Technique Inc.,2018,Full-Time,Provincial,Québec,Overall,188,168,20,0,0,0
287430,AJW Technique Inc.,2018,Part-Time,Provincial,Québec,Overall,2,0,2,0,0,0
287489,Algoma Central Corporation,2018,Full-Time,Provincial,Ontario,Overall,891,820,71,18,13,81
287585,All-Can Express Ltd.,2018,Full-Time,Provincial,British Columbia,Overall,308,227,81,20,17,65
287619,All-Can Express Ltd.,2018,Part-Time,Provincial,British Columbia,Overall,27,22,5,1,3,5
287641,Alliance Pipeline Ltd.,2018,Temporary,Provincial,Alberta,Overall,3,1,2,0,0,1
287716,Alliance Pulse Processors Inc.,2018,Full-Time,Provincial,Saskatchewan,Overall,293,215,78,6,5,38
287831,Alliance Pulse Processors Inc.,2018,Part-Time,Provincial,Saskatchewan,Overall,11,6,5,0,1,3
287914,Alpine Aerotech LP,2018,Full-Time,Provincial,British Columbia,Overall,134,119,15,3,6,12
287968,Alpine Aerotech LP,2018,Part-Time,Provincial,British Columbia,Overall,2,2,0,0,1,0
288061,"American Airlines, Inc.",2018,Full-Time,Provincial,Ontario,Overall,135,64,71,0,2,58
288140,"American Airlines, Inc.",2018,Part-Time,Provincial,Ontario,Overall,92,47,45,1,3,54
288199,Amex Bank of Canada,2018,Full-Time,Provincial,Ontario,Overall,667,292,375,1,38,82
288270,Amex Bank of Canada,2018,Part-Time,Provincial,Ontario,Overall,3,0,3,0,0,0
288313,Apex Motor Express Inc.,2018,Full-Time,Provincial,Ontario,Overall,91,46,45,2,2,23
288355,Apex Motor Express Inc.,2018,Part-Time,Provincial,Ontario,Overall,29,2,27,0,0,14
288435,Aptum Technologies (Canada) Inc.,2018,Full-Time,Provincial,Ontario,Overall,217,160,57,1,3,83
288534,Archipelago Marine Research Ltd.,2018,Full-Time,Provincial,British Columbia,Overall,43,26,17,0,1,3
288584,Archipelago Marine Research Ltd.,2018,Part-Time,Provincial,British Columbia,Overall,19,7,12,0,0,1
288614,Archipelago Marine Research Ltd.,2018,Temporary,Provincial,British Columbia,Overall,50,23,27,12,1,2
288664,Ardent Mills,2018,Full-Time,Provincial,Québec,Overall,103,91,12,0,0,5
288689,Ardent Mills,2018,Full-Time,Provincial,Saskatchewan,Overall,154,144,10,0,2,8
288784,Armour Transport Inc.,2018,Full-Time,Provincial,New Brunswick,Overall,292,273,19,7,19,5
288825,Armour Transport Inc.,2018,Full-Time,Provincial,Newfoundland and Labrador,Overall,91,89,2,3,6,1
288855,Armour Transport Inc.,2018,Part-Time,Provincial,New Brunswick,Overall,26,25,1,0,1,0
288860,Armour Transport Inc.,2018,Part-Time,Provincial,Newfoundland and Labrador,Overall,1,1,0,0,0,0
288906,Arnold Bros. Transport Ltd.,2018,Full-Time,Provincial,Manitoba,Overall,165,135,30,9,0,36
289009,Arnold Bros. Transport Ltd.,2018,Part-Time,Provincial,Manitoba,Overall,14,7,7,1,1,0
289088,ASL Distribution Services Ltd.,2018,Full-Time,Provincial,Ontario,Overall,135,83,52,0,0,0
289167,ASL Distribution Services Ltd.,2018,Part-Time,Provincial,Ontario,Overall,3,1,2,0,0,0
289194,Association des employeurs maritimes,2018,Full-Time,Provincial,Québec,Overall,1295,1155,140,4,25,73
289269,ATCO Structures & Logistics,2018,Full-Time,Provincial,Alberta,Overall,481,329,152,15,20,132
289396,ATCO Structures & Logistics,2018,Part-Time,Provincial,Alberta,Overall,3,1,2,0,0,0
289459,ATI Telecom International Co.,2018,Full-Time,Provincial,Québec,Overall,118,112,6,3,0,4
289480,ATI Telecom International Co.,2018,Full-Time,Provincial,British Columbia,Overall,381,289,92,2,6,120
289525,ATI Telecom International Co.,2018,Full-Time,Provincial,Alberta,Overall,258,242,16,3,5,93
289670,ATI Telecom International Co.,2018,Part-Time,Provincial,Québec,Overall,1,0,1,0,0,0
289712,Atlantic Towing Limited,2018,Full-Time,Provincial,New Brunswick,Overall,130,110,20,4,6,1
289749,Atlantic Towing Limited,2018,Full-Time,Provincial,Newfoundland and Labrador,Overall,287,276,11,6,5,1
289811,ATS Andlauer Transportation Services LP.,2018,Full-Time,Provincial,Ontario,Overall,271,204,67,3,7,60
289906,ATS Andlauer Transportation Services LP.,2018,Part-Time,Provincial,Ontario,Overall,12,8,4,0,1,0
289987,Autobus Campeau Inc.,2018,Full-Time,Provincial,Québec,Overall,134,95,39,0,0,2
290042,Autobus Campeau Inc.,2018,Part-Time,Provincial,Québec,Overall,284,201,83,0,0,7
290073,Autobus Idéal Inc.,2018,Full-Time,Provincial,Québec,Overall,120,77,43,0,0,16
290100,Autobus Idéal Inc.,2018,Part-Time,Provincial,Québec,Overall,38,29,9,0,0,4
290143,Avex Flight Support Inc.,2018,Full-Time,Provincial,Ontario,Overall,282,75,207,7,5,145
290242,Avianor Inc.,2018,Full-Time,Provincial,Québec,Overall,251,181,70,0,0,17
290345,Avianor Inc.,2018,Part-Time,Provincial,Québec,Overall,1,1,0,0,0,0
290404,Avmax Aviation Services Inc.,2018,Full-Time,Provincial,Alberta,Overall,242,173,69,6,38,71
290515,Avmax Aviation Services Inc.,2018,Part-Time,Provincial,Alberta,Overall,4,3,1,0,0,3
290562,AYR Motor Express Inc.,2018,Full-Time,Provincial,New Brunswick,Overall,199,169,30,2,6,1
290636,B&R Eckel's Transport Ltd.,2018,Full-Time,Provincial,Alberta,Overall,362,307,55,29,11,18
290739,B&R Eckel's Transport Ltd.,2018,Part-Time,Provincial,Alberta,Overall,20,10,10,2,0,1
290802,"Badder Bus Operations, Limited",2018,Full-Time,Provincial,Ontario,Overall,77,55,22,0,0,0
290856,"Badder Bus Operations, Limited",2018,Part-Time,Provincial,Ontario,Overall,185,102,83,0,0,0
290922,Bandstra Transportation Systems Ltd,2018,Full-Time,Provincial,British Columbia,Overall,244,216,28,17,17,14
290988,Bandstra Transportation Systems Ltd,2018,Part-Time,Provincial,British Columbia,Overall,54,46,8,4,1,0
291046,"Bank of America National Association, Canada Branch",2018,Full-Time,Provincial,Ontario,Overall,218,109,109,1,3,107
291174,Bank of Canada,2018,Full-Time,Provincial,Ontario,Overall,1369,728,641,20,40,314
291240,Bank of Canada,2018,Part-Time,Provincial,Ontario,Overall,12,4,8,0,0,1
291286,Bank of China (Canada),2018,Full-Time,Provincial,Ontario,Overall,115,54,61,0,0,0
291385,Bank of China (Canada),2018,Temporary,Provincial,Ontario,Overall,60,19,41,0,0,0
291484,Bank of Montreal,2018,Full-Time,Provincial,Ontario,Overall,16655,8095,8560,127,703,7481
291533,Bank of Montreal,2018,Full-Time,Provincial,Québec,Overall,3404,1514,1890,15,137,888
291570,Bank of Montreal,2018,Full-Time,Provincial,Nova Scotia,Overall,299,114,185,6,20,24
291599,Bank of Montreal,2018,Full-Time,Provincial,New Brunswick,Overall,147,47,100,2,10,9
291620,Bank of Montreal,2018,Full-Time,Provincial,Manitoba,Overall,222,103,119,13,12,50
291641,Bank of Montreal,2018,Full-Time,Provincial,British Columbia,Overall,1735,725,1010,38,142,763
291674,Bank of Montreal,2018,Full-Time,Provincial,Saskatchewan,Overall,225,93,132,8,14,60
291699,Bank of Montreal,2018,Full-Time,Provincial,Alberta,Overall,1247,492,755,30,41,374
291736,Bank of Montreal,2018,Full-Time,Provincial,Newfoundland and Labrador,Overall,146,34,112,12,7,3
292029,Bank of Montreal,2018,Part-Time,Provincial,Ontario,Overall,1398,344,1054,24,60,434
292066,Bank of Montreal,2018,Part-Time,Provincial,Québec,Overall,657,203,454,5,19,188
292095,Bank of Montreal,2018,Part-Time,Provincial,Nova Scotia,Overall,52,12,40,3,2,11
292108,Bank of Montreal,2018,Part-Time,Provincial,New Brunswick,Overall,57,6,51,0,5,10
292121,Bank of Montreal,2018,Part-Time,Provincial,Manitoba,Overall,62,16,46,3,1,25
